Gr. Nr.,Ebene,Gruppierung,Domain
13/17/03,Stamm,"Kirchseeon, St. Joseph",dpsg-kirchseeon.de
13/17/05,Stamm,"Anzing/Poing, Windrose",dpsg-windrose.de
13/17/08,Stamm,"Grafing, St. Sebastian",dpsg-grafing.de
13/17/09,Stamm,"Hohenlinden, Impeesa",dpsg-hohenlinden.de
13/19/00,Bezirk,"Bezirk Rosenheim",dpsg-rosenheim.de
13/19/01,Stamm,"Kiefersfelden, Adler",pfadfinderstamm-adler-kiefersfelden.de
13/19/02,Stamm,"Prutting",-
13/19/03,Stamm,"Rosenheim, St. Michael",scouting-rosenheim.de
13/19/04,Stamm,"Mountain Scouts Aschau",dpsg-aschau.de
13/19/06,Stamm,"Degerndorf / Brannenburg, Christkönig",dpsg-degerndorf.de
13/19/08,Stamm,"Rosenheim-Oberwöhr, St. Josef d. Arbeiter",pfadfinder-oberwoehr.de
13/19/10,Stamm,"Bad Aibling, St. Franziskus",dpsg-aibling.de
13/19/11,Stamm,"Kolbermoor, St. Franziskus",dpsgkolbermoor.de
13/19/12,Stamm,"Feldkirchen-Westerh., Phoenix",stamm-phoenix.de
13/19/13,Stamm,"Grosskarolinenfeld, Christophorus",pfadfinder-grosskarolinenfeld.de
13/19/15,Stamm,"St. Quirinus Fürstätt",pfadfinder-fuerstaett.de
13/20/00,Bezirk,"Bezirk Oberland",bezirk-oberland.de
13/20/01,Stamm,"Holzkirchen, St. Laurentius",pfadfinder-holzkirchen.de
13/20/03,Stamm,"Baierbrunn, Ägypten",dpsg-aegypten.de
13/20/05,Stamm,"St. Sixtus Schliersee",dpsg-schliersee.de
13/20/06,Stamm,"Iffeldorf/Seeshaupt, St. Vitus",-
13/20/08,Stamm,"Benediktbeuern, Dominikus Savio",dpsg-benediktbeuern.de
13/20/10,Stamm,"Bad Tölz, Eisvogel",dpsg-toelz.de
14/00/00,Diözese,"Diözesanverband Münster",dpsg-muenster.de
14/01/00,Bezirk,"Bezirk Niederrhein-Nord",dpsg-bezirk-nn.de
14/01/01,Stamm,"Xanten, St. Viktor",dpsg-xanten.de
14/01/03,Stamm,"Emmerich, Janusz Korczak",dpsg-emmerich.de
14/01/04,Stamm,"DPSG St. Augustinus Gaesdonck",dpsg-gaesdonck.de
14/01/06,Stamm,"Kleve-Materborn, St. Georg",dpsg-materborn.de
14/01/07,Stamm,"Schermbeck, St. Ludgerus",dpsg-schermbeck.de
14/01/08,Stamm,"Alpen, St. Ulrich",pfadfinder-alpen.de
14/01/09,Stamm,"Sonsbeck, St.Maria Magdalena",dpsg-sonsbeck.de
14/01/11,Stamm,"Wesel-Feldmark, Herz Jesu",dpsg-feldmark.de
14/01/12,Stamm,"Wesel-Flüren",dpsg-wesel-flueren.de
14/01/13,Stamm,"Wesel, z. d. Hl. Engeln",dpsg-fusternberg.de
14/01/15,Stamm,"Kalkar, St. Benedikt",-
14/01/16,Stamm,"Geldern-Hartefeld",dpsg-hartefeld.de
14/01/17,Stamm,"Weeze, St. Cyriakus",dpsg-weeze.de
14/01/18,Stamm,"Hamminkeln, St. Maria Himmelfahrt",-
14/01/20,Stamm,"Geldern-Veert, St. Martin",dpsg-veert.de
14/01/21,Stamm,"Geldern, St. Maria Magdalena",dpsggeldern.de
14/01/22,Stamm,"Hamminkeln, Wertherbruch",-
14/01/23,Stamm,"Uedem",dpsg-uedem.de
14/01/25,Stamm,"Geldern-Kapellen",dpsg-kapellen.de
14/01/27,Stamm,"Rheurdt, St. Nikolaus",dpsg-rheurdt.de
14/01/30,Stamm,"Goch, Edelweiß",pfadfinder-edelweiss.com
14/02/00,Bezirk,"Bezirk Oldenburg",dpsg-bezirk-oldenburg.de
14/02/01,Stamm,"Vechta, Füchtel",dpsg-füchtel.de
14/02/02,Stamm,"Vechta, St. Georg",dpsg-vechta.de
14/02/04,Stamm,"Steinfeld, v. Schagen",dpsg-steinfeld.de
14/02/05,Stamm,"Dinklage, von Galen",pfadfinderdinklage.com
14/02/06,Stamm,"Wilhelmshaven, Christus König",dpsg-wilhelmshaven.de
14/02/07,Stamm,"Lohne, St. Gertrud",dpsg-lohne.de
14/02/08,Stamm,"Damme, Benedikt",-
14/02/11,Stamm,"Oldenburg, Widukind",dpsg-widukind-ol.de
